text,label
"Overpriced and underseasoned, the meal was a disappointment from start to finish.",Negative
"The service was slow and inattentive, making for a frustrating dining experience overall.",Negative
"Unfortunately, the restaurant's attempt at fusion cuisine fell flat with unappetizing flavors.",Negative
Dirty tables and a lingering smell of grease made for an uninviting atmosphere.,Negative
The chef's innovative fusion of flavors and exquisite presentation left me speechless. ,Positive
"Ambiance was enchanting, with soft music and dim lighting, making our dining experience truly unforgettable. ",Positive
" I recently visited Bella Vita, an Italian restaurant, and had an amazing experience. The pasta was cooked to perfection and the service was top-notch.",Positive
" The sushi at Tokyo Bay was a letdown, the fish was not fresh and the rice was overcooked. Definitely not recommending this place.",Negative
" Le Petit Chateau, a French restaurant, exceeded my expectations with its exquisite cuisine and exceptional service. The duck confit was to die for.",Positive
" I ordered the chicken tikka masala from Tandoori Nights, an Indian restaurant, and it was love at first bite. The flavors were rich and the portion was generous.",Positive
" The dim sum at Golden Dragon, a Chinese restaurant, was a disappointment. The har gow was soggy and the siu mai was oversteamed.",Negative
" Chef Ali's signature dish at Marrakech, a Moroccan restaurant, was a game-changer. The lamb tagine was tender and flavorful, and the service was attentive.",Positive
" Sakura, a Japanese restaurant, had an impressive selection of sake and the sushi was fresh and delicious. The staff was knowledgeable and friendly.",Positive
" I was looking forward to trying the falafel at Beirut Bites, a Lebanese restaurant, but it was dry and tasteless. The service was slow too.",Negative
" The pizza at Firenze, an Italian restaurant, was cooked to perfection in a wood-fired oven. The crust was crispy and the toppings were fresh.",Positive
" The pad thai at Bangkok Street, a Chinese restaurant, was a letdown. The noodles were overcooked and the sauce was too sweet.",Negative
" The staff at Saffron, an Indian restaurant, were friendly and accommodating. The chicken biryani was flavorful and the naan bread was soft.",Positive
" I had high hopes for the ramen at Ramen House, a Japanese restaurant, but the broth was bland and the noodles were overcooked.",Negative
" The croissants at Boulangerie, a French bakery, were flaky and buttery. The coffee was strong and rich.",Positive
" The shawarma at Shawarma King, a Lebanese restaurant, was juicy and flavorful. The toppings were fresh and the pita bread was soft.",Positive
" The kung pao chicken at Szechuan Palace, a Chinese restaurant, was spicy and savory. The service was quick and efficient.",Positive
